,episode_reward,nb_episode_steps,nb_steps
1548,0.0,29,77238
1549,-250.0,50,77288
1550,0.0,50,77338
1551,0.0,50,77388
1552,0.0,50,77438
1553,0.0,50,77488
1554,0.0,50,77538
1555,0.0,50,77588
1556,-280.0,50,77638
1557,0.0,50,77688
1558,0.0,50,77738
1559,-70.0,50,77788
1560,0.0,50,77838
1561,0.0,50,77888
1562,0.0,50,77938
1563,0.0,50,77988
1564,0.0,50,78038
1565,0.0,50,78088
1566,0.0,50,78138
1567,-480.0,50,78188
1568,0.0,50,78238
1569,-460.0,50,78288
1570,0.0,50,78338
1571,0.0,50,78388
1572,0.0,26,78414
1573,90.0,50,78464
1574,0.0,19,78483
1575,0.0,50,78533
1576,0.0,70,78603
1577,0.0,50,78653
1578,0.0,50,78703
1579,0.0,50,78753
1580,0.0,50,78803
1581,-680.0,50,78853
1582,0.0,50,78903
1583,0.0,50,78953
1584,0.0,50,79003
1585,-1575.0,50,79053
1586,0.0,41,79094
1587,32.0,50,79144
1588,0.0,50,79194
1589,0.0,50,79244
1590,0.0,50,79294
1591,0.0,50,79344
1592,0.0,50,79394
1593,0.0,50,79444
1594,0.0,50,79494
1595,0.0,50,79544
1596,0.0,50,79594
1597,0.0,50,79644
1598,0.0,50,79694
1599,0.0,50,79744
1600,-560.0,70,79814
1601,-440.0,50,79864
1602,0.0,50,79914
1603,0.0,50,79964
1604,0.0,50,80014
1605,0.0,50,80064
1606,0.0,50,80114
1607,0.0,50,80164
1608,0.0,50,80214
1609,0.0,50,80264
1610,-80.0,50,80314
1611,0.0,50,80364
1612,0.0,50,80414
1613,-290.0,30,80444
1614,0.0,50,80494
1615,0.0,50,80544
1616,0.0,50,80594
1617,0.0,50,80644
1618,0.0,50,80694
1619,0.0,50,80744
1620,0.0,50,80794
1621,0.0,16,80810
1622,0.0,50,80860
1623,0.0,50,80910
1624,0.0,50,80960
1625,0.0,50,81010
1626,0.0,50,81060
1627,0.0,50,81110
1628,0.0,50,81160
1629,0.0,50,81210
1630,0.0,50,81260
1631,0.0,50,81310
1632,0.0,50,81360
1633,34.0,50,81410
1634,0.0,50,81460
1635,0.0,50,81510
1636,0.0,50,81560
1637,0.0,50,81610
1638,0.0,50,81660
1639,0.0,50,81710
1640,0.0,50,81760
1641,0.0,50,81810
1642,0.0,50,81860
1643,0.0,50,81910
1644,84.0,50,81960
1645,0.0,50,82010
1646,46.0,50,82060
1647,0.0,50,82110
1648,0.0,50,82160
1649,90.0,50,82210
1650,0.0,50,82260
1651,0.0,50,82310
1652,0.0,50,82360
1653,0.0,50,82410
1654,-3575.0,50,82460
1655,0.0,50,82510
1656,0.0,50,82560
1657,0.0,50,82610
1658,0.0,50,82660
1659,0.0,50,82710
1660,0.0,50,82760
1661,0.0,50,82810
1662,0.0,50,82860
1663,0.0,50,82910
1664,0.0,50,82960
1665,44.0,50,83010
1666,0.0,50,83060
1667,0.0,50,83110
1668,0.0,50,83160
1669,0.0,50,83210
1670,0.0,50,83260
1671,0.0,50,83310
